title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria;status
Systematic Literature Mapping of User Story Research;Amna, Anis R. and Poels, Geert;IEEE Access;2022;IEEE Digital Library;51723-51746;10;None;;10.1109/ACCESS.2022.3173745;;;;;;;;;;Accepted
Enriching User Stories with Usability Features in a Remote Agile Project: A Case Study;Marques, Anna Beatriz and Costa, Alex Felipe and Santos, Ismayle and Andrade, Rossana;;2022;ACM Digital Library;;;Considering usability aspects in the early phases of software development can avoid rework to solve usability problems identified late. We can adopt Requirements Engineering methods to identify usability requirements that explore the end users’ perspectives and usage preferences. However, usability evaluation methods are more commonly adopted in the industry than early usability methods to define usability requirements. Recently, the USARP method was proposed for usability requirements elicitation and specification. USARP suggests the combined use of personas, user stories, and usability guidelines. This paper aims to report a case study on the USARP adoption by a remote agile team in the industry. USARP supports the team in defining UI/UX requirements for a web management tool. A survey enables us to investigate the teams’ perception of the usefulness of the USARP. The results showed that USARP improved the team’s effectiveness in usability requirements elicitation. USARP enabled identifying 120 UI/UX aspects related to system functionalities. We expect this experience report can contribute to disseminating early usability methods in industry practice.;;10.1145/3571473.3571496;https://doi.org/10.1145/3571473.3571496;;;user stories, requirements elicitation, requirements specification, usability requirements, case study;Association for Computing Machinery;;;;Primary studies;Rejected
A systematic review of requirements change management;Shalinka Jayatilleke and Richard Lai;Information and Software Technology;2018;Science@Direct;163-185;93;"Context
Software requirements are often not set in concrete at the start of a software development project; and requirements changes become necessary and sometimes inevitable due to changes in customer requirements and changes in business rules and operating environments; hence, requirements development, which includes requirements changes, is a part of a software process. Previous work has shown that failing to manage software requirements changes well is a main contributor to project failure. Given the importance of the subject, there's a plethora of research work that discuss the management of requirements change in various directions, ways and means. An examination of these works suggests that there's a room for improvement.
Objective
In this paper, we present a systematic review of research in Requirements Change Management (RCM) as reported in the literature.
Method
We use a systematic review method to answer four key research questions related to requirements change management. The questions are: (1) What are the causes of requirements changes? (2) What processes are used for requirements change management? (3) What techniques are used for requirements change management? and (4) How do organizations make decisions regarding requirements changes? These questions are aimed at studying the various directions in the field of requirements change management and at providing suggestions for future research work.
Results
The four questions were answered; and the strengths and weaknesses of existing techniques for RCM were identified.
Conclusions
This paper has provided information about the current state-of-the-art techniques and practices for RCM and the research gaps in existing work. Benefits, risks and difficulties associated with RCM are also made available to software practitioners who will be in a position of making better decisions on activities related to RCM. Better decisions will lead to better planning which will increase the chance of project success.";;https://doi.org/10.1016/j.infsof.2017.09.004;https://www.sciencedirect.com/science/article/pii/S0950584917304664;;;Requirements change management, Agile, Systematic review;;0950-5849;;;;Accepted
How Agile Developers Integrate User-Centered Design Into Their Processes: A Literature Review;Caballero, Leydi and Moreno, Ana M. and Seffah, Ahmed;International Journal of Software Engineering and Knowledge Engineering;2016;El Compendex;1175-1201;26; The lack of user engagement, the absence of user feedback, incomplete and continuously changing user requirements are among the critical concerns that cause projects to fail. User-centered design (UCD) and agile software development are two iterative approaches that have been proposed to overcome such concerns. UCD is a design process focusing on user research, user interface design and usability evaluation. Introduced by software engineering practitioners, agile refers to a number of iterative and incremental software development practices that emphasize people’s needs, communication between developers and stakeholders and the ability to adapt to change. In both the agile and UCD communities, however, a full understanding of user requirements is often seen as incompatible with early and quick development iterations. We performed a literature review aiming to identify how agile teams have integrated UCD tools into their agile software development process to a better understanding of the user requirements without losing sight of the agile values and principles. UCD tools adaptations and minimal-up-front design applied in agile development are among the approaches discovered in this study. The findings could lead to a comprehensive user-centric software engineering that will overcome inherent problems faced by agile teams to understand user needs, priorities and goals. ;;10.1142/S0218194016500418; https://doi.org/10.1142/S0218194016500418;;;;;;;;;Accepted
Requirements Engineering and Software Testing in Agile Methodologies: A Systematic Mapping;Coutinho, Jarbele C. S. and Andrade, Wilkerson L. and Machado, Patr\'{\i}cia D. L.;;2019;ACM Digital Library;322–331;;The insertion of agile practices in software development has increased exponentially. Both industry and academic staff constantly face challenges related to requirements specification and testing in this context. In this study, we conducted a systematic mapping of the literature to investigate the practices, strategies, techniques, tools, and challenges met in the association of Requirements Engineering with Software Testing (REST) in the agile context. By searching seven major bibliographic databases, we identified 1.099 papers related to Agile REST. Based on the systematic mapping guidelines, we selected 14 of them for a more specific analysis. In general, the main findings include the fact that weekly meetings should be held to establish frequent communication with stakeholders. Also, most projects adopt use cases as conceptual models and perform use case detailing. Test cases are an important artifact with test case design as a Software Testing practice. For the automation of test cases, fit tables have been recommended as an artifact. Finally, proper project documentation constitutes a critical basis in Agile REST.;;10.1145/3350768.3352584;https://doi.org/10.1145/3350768.3352584;;;software requirements, software testing, agile, systematic mapping study;Association for Computing Machinery;;;;;Accepted
An Update on Effort Estimation in Agile Software Development: A Systematic Literature Review;Fernández-Diego, Marta and Méndez, Erwin R. and González-Ladrón-De-Guevara, Fernando and Abrahão, Silvia and Insfran, Emilio;IEEE Access;2020;IEEE Digital Library;166768-166800;8;None;;10.1109/ACCESS.2020.3021664;;;;;;;;;;Accepted
Review on Agile requirements engineering challenges;Elghariani, Kaiss and Kama, Nazri;;2016;IEEE Digital Library;507-512;;None;;10.1109/ICCOINS.2016.7783267;;;;;;;;;;Accepted
Management of quality requirements in agile and rapid software development: A systematic mapping study;Woubshet Behutiye and Pertti Karhapää and Lidia López and Xavier Burgués and Silverio Martínez-Fernández and Anna Maria Vollmer and Pilar Rodríguez and Xavier Franch and Markku Oivo;Information and Software Technology;2020;Science@Direct;106225;123;"Context
Quality requirements (QRs) describe the desired quality of software, and they play an important role in the success of software projects. In agile software development (ASD), QRs are often ill-defined and not well addressed due to the focus on quickly delivering functionality. Rapid software development (RSD) approaches (e.g., continuous delivery and continuous deployment), which shorten delivery times, are more prone to neglect QRs. Despite the significance of QRs in both ASD and RSD, there is limited synthesized knowledge on their management in those approaches.
Objective
This study aims to synthesize state-of-the-art knowledge about QR management in ASD and RSD, focusing on three aspects: bibliometric, strategies, and challenges.
Research method
Using a systematic mapping study with a snowballing search strategy, we identified and structured the literature on QR management in ASD and RSD.
Results
We found 156 primary studies: 106 are empirical studies, 16 are experience reports, and 34 are theoretical studies. Security and performance were the most commonly reported QR types. We identified various QR management strategies: 74 practices, 43 methods, 13 models, 12 frameworks, 11 advices, 10 tools, and 7 guidelines. Additionally, we identified 18 categories and 4 non-recurring challenges of managing QRs. The limited ability of ASD to handle QRs, time constraints due to short iteration cycles, limitations regarding the testing of QRs and neglect of QRs were the top categories of challenges.
Conclusion
Management of QRs is significant in ASD and is becoming important in RSD. This study identified research gaps, such as the need for more tools and guidelines, lightweight QR management strategies that fit short iteration cycles, investigations of the link between QRs challenges and technical debt, and extension of empirical validation of existing strategies to a wider context. It also synthesizes QR management strategies and challenges, which may be useful for practitioners.";;https://doi.org/10.1016/j.infsof.2019.106225;https://www.sciencedirect.com/science/article/pii/S095058491930240X;;;Quality requirements, Non-functional requirements, Agile software development, Rapid software development, Systematic mapping study, Systematic literature reviews;;0950-5849;;;;Accepted
Agile Methods for ERP Implementation: A Systematic Literature Review;Wijaya, Santo Fernandi and Prabowo, Harjanto and Kosala, Raymondus Raymond and Meyliana;;2018;IEEE Digital Library;571-576;;None;;10.1109/ICIMTech.2018.8528164;;;;;;;;;;Accepted
The Integration of Agile Development and Model Driven Development - A Systematic Literature Review;Hessa Alfraihi. and Kevin Lano.;;2017;El Compendex;451-458;;None;;10.5220/0006207004510458;;;;;SciTePress;2184-4348;;;;Accepted
