solution-number;Solution
Sol001;A hierarchical requirements model
Sol002;Abuser story
Sol003;Adaptative Random Testing
Sol004;Agile REST
Sol005;Agile security framework using a hybrid\\ technique for requirements elicitation
Sol006;Agile Software Testing
Sol007;Analytic Hierarchy Process (AHP)
Sol008;Ant colony
Sol009;Architecture and requirements modeling
Sol010;Artificial bee colony
Sol011;Aspect-oriented requirements approach
Sol012;Automatic Runtime Reappraisal\\ of Weights
Sol013;Automatically validated against\\ the storytests
Sol014;Bag-of-words
Sol015;Bayesian Network
Sol016;Binary integer programming
Sol017;Bin-packing-related heuristic
Sol018;Brainstorming
Sol019;Central Design Report (CDR)
Sol020;Change analysis
Sol021;Change cost/effort estimation Software
Sol022;Change identification
Sol023;Change Vector
Sol024;Clustering
Sol025;Code refactoring
Sol026;Constructive heuristic
Sol027;Contextual Design
Sol028;Cumulative Voting
Sol029;Decision Knowledge
Sol030;Decision Trees
Sol031;Deep belief network
Sol032;Delivery stories
Sol033;Dependency
Sol034;Design Thinking
Sol035;Document fingerprints
Sol036;Elman
Sol037;Goal-oriented
Sol038;Ensemble-based method
Sol039;Ethnography
Sol040;Expert judgment
Sol041;Features tree model used to describe\\ requirement and changes on requirement
Sol042;Feed forward
Sol043;Flowchart Model
Sol044;Focal group
Sol045;Framework of requirements prioritization
Sol046;Frequent prioritization
Sol047;Fuzzy logic
Sol048;Fuzzy Neural Network
Sol049;General Regression Neural Network
Sol050;Genetic algorithm
Sol051;Goal Model
Sol052;Goal Question Metric
Sol053;Greedy algorithm
Sol054;Harmony search
Sol055;Heuristic Evaluation
Sol056;Independent Component\\ Regression
Sol057;Index cards
Sol058;Integer linear programming
Sol059;Interview
Sol060;Joint Application\\ Development (JAD)
Sol061;Just in time approaches used to manage\\ non-functional requirement
Sol062;K-means algorithm
Sol063;Knapsack problem-related heuristic
Sol064;K-Nearest Neighbor
Sol065;Latent Dirichlet Allocation
Sol066;Lemmatization
Sol067;Linear programming
Sol068;Logistic Model Tree
Sol069;Logistic regression
Sol070;Machine Learning
Sol071;Meeting
Sol072;Mind Map
Sol073;Model-based Testing
Sol074;Modeling
Sol075;Monte Carlo
Sol076;Multilayer Perceptrons 
Sol077;Naive bayes
Sol078;Named-entity recognizer
Sol079;Natural Language Processing
Sol080;Artificial Neural Network
Sol081;Non-Funcional requirements model\\ for Agile process
Sol082;Numerical Assignment
Sol083;Ontology Model
Sol084;Open information extraction
Sol085;Pairing for requirements analysis
Sol086;Participatory Design
Sol087;Persona
Sol088;Planning poker
Sol089;Plausible Justification tree
Sol090;POS tag
Sol091;Preprocessing
Sol092;Weighted Sum
Sol093;Prioritization of Stories
Sol094;Product grooming
Sol095;Prototyping
Sol096;Q-rapids
Sol097;Quantitative Customer-driven (QCD)
Sol098;Questionnaire
Sol099;Random Forest
Sol100;Refactoring
Sol101;Regression analysis
Sol102;Regression testing
Sol103;Requirements modelling
Sol104;Retrospectives
Sol105;Scenarios
Sol106;Security backlog
Sol107;Semantic network
Sol108;Semantic role labeling
Sol109;Shared conceptualisation
Sol110;Similarity matrix
Sol111;Skip-gram
Sol112;Social analysis
Sol113;Statistical Combination
Sol114;Statistical model
Sol115;Stochastic Gradient Bossting
Sol116;Story boarding
Sol117;Story Card
Sol118;Story points
Sol119;Support Vector Machine
Sol120;Syntactic parse tree
Sol121;Frequency/frequency-inverse
Sol122;Test case prioritization
Sol123;Testing before coding
Sol124;Text Classification
Sol125;Tool for modeling NFR for agile\\ processes.
Sol126;Unified Modeling Language
Sol127;Use case
Sol128;User Centered Design
Sol129;User stories
Sol130;Vector space model
Sol131;Version Control Continuous\\ Testing Frame
Sol132;Vulnerability analyses
Sol133;Weighted dependency graph
Sol134;Wiki
Sol135;WORKSHOP
Sol136;WuP similarity
;
;
;
;
;
;
