Terms;Representational State Transfer;Architecture modeling;Natural Language Processing;Independent Component Regression;General Regression Neural Network;Fuzzy Neural Network;Feed forward;Deep belief network;Elman;Neural Network;Weighted dependency graph;Monte Carlo;Text Classification;Machine Learning;Stochastic Gradient Bossting;Random Forest;Naive bayes;Logistic Model Tree;Multilayer Perceptrons ;Bag-of-words;Search and optimization;Statistical Combination;Fuzzy logic;WuP similarity;Vector space model;Term frequency-inverse document frequency;Syntactic parse tree;Skip-gram;Similarity matrix;Semantic role labeling;Preprocessing;POS tag;Open information extraction;Named-entity recognizer;Logistic regression;Lemmatization;Latent Dirichlet Allocation;Dependency;Clustering;Regression;Document fingerprints;Constructive heuristic;Harmony search;Plausible Justification tree;Regression analysis;Support Vector Machine;Ant colony;K-means algorithm;Bayesian network;Bayesian Network;Reasoning under uncertainty;Feed-forward;regression analysis;Ensemble-based method;Artificial bee colony;Statistical model;Knapsack problem-related heuristic;Bin-packing-related heuristic;Decision Trees;Binary integer programming;Greedy algorithm;Genetic algorithm;Integer linear programming;Linear programming;Aspect-oriented;Change identification;Change cost estimation;Change effort estimation;Change Vector;Change analysis;Code refactoring;data-driven;Q-rapids;Design Thinking;Central Design Report (CDR);Contextual Design;Participatory Design;User Centered Design;Goal Model;Goal-oriented;Just in time;Mind-mapping;Mind Map;Prototyping;Modeling Non-Funcional requirements;Requirements modelling;Ontology Model;Non-Funcional requirements model;A hierarchical model;Tree model;Flowchart Model;Model-based;Persona;regression techniques;Planning poker;Test case prioritization;Automatic Runtime Reappraisal of Weights;Cumulative Voting;Requirements prioritization;Index cards;Regression testing;Numerical Assignment;Scenarios;Abuser story;Agile security framework;Vulnerability analyses;Security backlog;Semantic network;Ethnography;Expert judgment;Focal group;Retrospectives;Wiki;Quantitative Customer-driven;Pairing analysis;Meeting;Joint Application Development;Interview;Product grooming;WORKSHOP;Questionnaire;Use case;Decision Knowledge;Shared conceptualisation;Social analysis;Pairing for requirements analysis;Analytic Hierarchy Process;Brainstorming;Heuristic Evaluation;Delivery stories;User stories;Story boarding;Story Card;Story points;Model-based Testing;Version Control Testing Frame;Test-driven;Testing before coding;Adaptative Testing;storytests;Goal Question Metric;Version Continuous Testing Frame;Random Testing;Unified Modeling Language;UML
Classification;D;D;S;S;NAN;D;S;E;D;S;NAN;D;E;E;NAN;E;E;E;D;E;D;E;D;NAN;NAN;NAN;S;E;S;S;E;E;S;NAN;E;E;S;E;D;E;NAN;NAN;S;NAN;S;S;D;D;D;S;S;D;S;NAN;S;S;NAN;NAN;S;S;S;D;S;S;D;S;NAN;NAN;E;S;S;S;NAN;E;NAN;S;D;S;S;E;D;S;S;S;NAN;D;D;NAN;D;S;S;D;E;E;S;S;NAN;NAN;S;S;S;S;S;NAN;S;NAN;S;S;S;S;NAN;S;D;NAN;S;S;S;S;S;D;D;S;S;NAN;E;NAN;D;S;S;E;E;S;S;E;D;NAN;D;S;NAN;NAN;S;NAN;S;D;D
Date;Sol004;Sol009;Sol079;Sol056;Sol049;Sol048;Sol042;Sol031;Sol036;Sol080;Sol133;Sol075;Sol124;Sol070;Sol115;Sol099;Sol077;Sol068;Sol076;Sol014;Sol050;Sol113;Sol047;Sol136;Sol130;Sol121;Sol120;Sol111;Sol110;Sol108;Sol091;Sol090;Sol084;Sol078;Sol069;Sol066;Sol065;Sol033;Sol024;Sol101;Sol035;Sol026;Sol054;Sol089;Sol101;Sol119;Sol008;Sol062;Sol015;Sol015;Sol015;Sol042;Sol101;Sol038;Sol010;Sol114;Sol063;Sol017;Sol030;Sol016;Sol053;Sol050;Sol058;Sol067;Sol011;Sol022;Sol021;Sol021;Sol023;Sol020;Sol025;Sol096;Sol096;Sol034;Sol019;Sol027;Sol086;Sol128;Sol051;Sol037;Sol061;Sol072;Sol072;Sol095;Sol125;Sol074;Sol083;Sol081;Sol001;Sol041;Sol043;Sol001;Sol087;Sol102;Sol088;Sol122;Sol012;Sol028;Sol045;Sol057;Sol102;Sol082;Sol105;Sol002;Sol005;Sol132;Sol106;Sol107;Sol039;Sol040;Sol044;Sol104;Sol134;Sol097;Sol085;Sol071;Sol060;Sol059;Sol094;Sol135;Sol098;Sol127;Sol029;Sol109;Sol112;Sol085;Sol007;Sol018;Sol055;Sol032;Sol129;Sol116;Sol117;Sol118;Sol073;Sol131;Sol003;Sol123;Sol003;Sol013;Sol052;Sol131;Sol003;Sol126;Sol126
01/01/2004;0;70;100;0;;100;88;0;100;100;;100;98;17;;6;82;56;55;0;65;100;100;;100;;100;0;26;41;46;0;0;;33;7;20;27;100;76;;;0;;100;100;100;100;100;100;0;61;100;;0;100;;;100;100;100;100;100;100;100;65;0;;41;89;100;100;;94;;100;100;100;100;0;100;0;94;100;;100;55;;33;100;100;86;42;82;0;0;;0;0;0;100;100;100;0;0;;0;100;55;0;100;0;18;;0;86;55;79;0;100;100;100;100;;52;;100;41;100;0;46;0;100;0;72;;100;0;;;100;;100;100;100
01/01/2005;100;100;66;0;;64;100;0;67;68;;59;63;13;;7;59;0;100;0;79;0;71;;15;;0;0;47;100;42;24;0;;39;4;36;26;80;64;;;0;;83;66;62;83;86;86;100;100;83;;0;65;;;70;99;100;67;86;81;71;0;0;;17;100;73;91;;100;;0;41;61;37;0;84;0;100;75;;61;100;;100;73;0;75;44;25;0;0;;0;0;78;84;0;88;0;0;;0;95;100;0;0;0;30;;0;68;100;85;0;73;89;88;91;;16;;61;74;20;0;51;0;0;0;44;;65;0;;;0;;73;93;76
01/01/2006;63;54;51;0;;48;70;6;33;48;;51;41;11;;6;40;22;48;0;100;19;46;;58;;39;0;100;69;40;15;0;;29;8;34;28;59;54;;;22;;61;50;64;63;65;65;25;56;61;;0;43;;;53;82;67;49;68;68;42;100;0;;53;75;49;61;;36;;0;0;77;31;71;77;0;59;55;;90;42;;63;49;58;100;40;58;27;0;;0;0;50;79;39;52;0;0;;0;82;21;0;0;0;63;;0;66;0;73;0;60;61;68;90;;33;;77;55;26;0;52;100;39;0;56;;39;0;;;0;;77;49;55
01/01/2007;13;51;34;0;;35;71;0;23;36;;47;29;10;;7;36;41;30;0;64;12;39;;54;;0;0;66;63;30;19;38;;26;2;33;33;46;46;;;27;;60;44;57;60;48;48;24;36;60;;4;41;;;40;42;53;39;56;56;30;63;0;;53;54;43;46;;36;;0;40;73;53;0;81;0;79;54;;32;40;;64;48;0;68;34;36;51;92;;0;0;31;63;0;65;0;0;;0;75;26;0;24;100;92;;0;65;0;81;0;41;43;59;85;;38;;0;74;40;0;38;0;32;3;35;;34;0;;;48;;77;40;49
01/01/2008;37;44;32;0;;32;58;5;30;27;;39;31;8;;6;32;0;32;0;51;34;31;;59;;34;0;53;42;30;33;27;;22;5;35;35;39;39;;;61;;48;35;50;44;37;37;33;44;48;;9;32;;;33;55;41;34;41;46;23;22;0;;35;61;39;65;;25;;25;56;68;24;63;71;100;79;52;;17;56;;61;39;17;62;41;23;35;0;;0;0;43;47;17;61;0;0;;0;55;32;0;0;0;99;;0;84;19;69;0;29;43;53;42;;32;;0;93;45;0;28;44;28;2;86;;41;0;;;17;;64;35;39
01/01/2009;28;30;30;100;;30;52;13;24;24;;36;26;8;;7;36;0;14;78;62;19;28;;35;;0;0;36;50;26;44;100;;20;5;51;38;40;37;;;63;;50;32;51;44;35;35;33;21;50;;30;26;;;28;54;50;30;40;46;15;33;0;;52;73;40;61;;33;;6;25;38;15;0;63;74;72;50;;13;34;;39;34;6;72;60;41;53;72;;0;0;65;44;25;51;0;0;;0;57;48;0;0;0;100;;0;88;34;74;0;25;36;48;48;;31;;13;66;59;0;39;65;17;6;100;;30;0;;;0;;50;30;33
01/01/2010;21;35;28;75;;26;55;20;15;22;;34;19;7;;7;34;5;12;29;49;14;25;;40;;19;0;49;40;25;41;38;;21;8;79;44;37;35;;;69;;54;29;43;39;28;28;37;20;54;;65;25;;;22;32;45;25;41;43;11;37;0;;47;47;39;37;;24;;24;32;85;30;35;61;0;83;49;;9;36;;39;35;38;42;69;50;79;45;;100;0;36;50;38;50;0;0;;0;56;23;0;9;78;88;;80;80;10;97;0;19;40;45;38;;60;;85;71;9;0;49;0;19;14;31;;24;100;;;0;;45;32;28
01/01/2011;16;26;30;57;;27;47;36;16;23;;29;20;9;;8;35;8;15;56;63;7;22;;36;;0;0;47;29;24;53;45;;21;9;71;48;31;32;;;62;;42;31;37;28;26;26;30;17;42;;51;25;;;19;52;43;23;43;40;7;18;0;;63;74;33;45;;22;;11;7;43;31;66;46;0;85;49;;21;51;;33;33;18;40;65;34;60;41;;0;0;18;44;0;48;0;30;;30;44;31;100;0;59;85;;0;67;16;80;0;15;36;39;43;;53;;36;100;29;0;47;37;33;13;26;;22;38;;;0;;59;23;21
